date,event,location,result,fighter1,fighter2,method_of_victory,fight_duration,fight_format,f1_knockdown,f2_knockdown,f1_sig_strike_land,f2_sig_strike_land,f1_sig_strike_att,f2_sig_strike_att,f1_total_strike_land,f2_total_strike_land,f1_total_strike_att,f2_total_strike_att,f1_takedown_land,f2_takedown_land,f1_takedown_att,f2_takedown_att,f1_sub_att,f2_sub_att,f1_reversal,f2_reversal,f1_control_time,f2_control_time
"April 15, 2023",UFC Fight Night: Holloway vs. Allen,"Kansas City, Missouri, USA",1,Gillian Robertson,Piera Rodriguez,Submission,561,3,0,0,26,12,39,33,46,25,62,47,2,1,3,1,1,0,0,0,383,54
"April 15, 2023",UFC Fight Night: Holloway vs. Allen,"Kansas City, Missouri, USA",1,Brandon Royval,Matheus Nicolau,KO/TKO,129,3,1,0,13,2,22,5,13,2,22,5,0,0,0,0,0,0,0,0,7,0
"April 15, 2023",UFC Fight Night: Holloway vs. Allen,"Kansas City, Missouri, USA",0,Aaron Phillips,Gaston Bolanos,Decision - Unanimous,900,3,0,0,17,63,39,127,79,69,104,135,3,0,5,0,1,0,0,1,361,96
"April 15, 2023",UFC Fight Night: Holloway vs. Allen,"Kansas City, Missouri, USA",0,Clay Guida,Rafa Garcia,Decision - Unanimous,900,3,0,0,63,141,252,287,63,143,252,289,0,0,3,1,0,0,0,0,0,20
"April 15, 2023",UFC Fight Night: Holloway vs. Allen,"Kansas City, Missouri, USA",1,Bill Algeo,TJ Brown,Submission,400,3,1,0,64,46,110,91,77,49,123,94,1,1,1,2,1,0,0,1,102,39
"April 15, 2023",UFC Fight Night: Holloway vs. Allen,"Kansas City, Missouri, USA",1,Edson Barboza,Billy Quarantillo,KO/TKO,157,3,1,0,21,19,33,42,21,20,33,43,0,0,0,2,0,0,0,0,2,39
"April 15, 2023",UFC Fight Night: Holloway vs. Allen,"Kansas City, Missouri, USA",1,Pedro Munhoz,Chris Gutierrez,Decision - Unanimous,900,3,1,0,60,77,174,133,74,79,188,135,0,0,1,0,0,0,0,0,174,6
"April 15, 2023",UFC Fight Night: Holloway vs. Allen,"Kansas City, Missouri, USA",0,Dustin Jacoby,Azamat Murzakanov,Decision - Unanimous,900,3,0,1,64,67,131,127,96,70,167,130,1,1,6,5,0,0,0,0,186,16
"April 15, 2023",UFC Fight Night: Holloway vs. Allen,"Kansas City, Missouri, USA",1,Zak Cummings,Ed Herman,KO/TKO,853,3,3,0,100,54,175,117,114,71,189,141,0,0,0,1,0,0,0,0,198,0
"April 15, 2023",UFC Fight Night: Holloway vs. Allen,"Kansas City, Missouri, USA",1,Max Holloway,Arnold Allen,Decision - Unanimous,1500,5,0,0,147,76,262,225,149,80,264,229,0,0,0,0,0,0,0,0,3,42
"April 29, 2023",UFC Fight Night: Song vs. Simon,"Las Vegas, Nevada, USA",1,Martin Buday,Jake Collier,Decision - Unanimous,900,3,0,0,98,94,177,207,145,107,229,226,0,0,0,1,0,0,0,0,105,271
"April 15, 2023",UFC Fight Night: Holloway vs. Allen,"Kansas City, Missouri, USA",0,Tanner Boser,Ion Cutelaba,KO/TKO,125,3,0,0,5,30,16,40,5,30,16,40,0,1,0,1,0,0,0,0,0,17
"April 29, 2023",UFC Fight Night: Song vs. Simon,"Las Vegas, Nevada, USA",1,Cody Durden,Charles Johnson,Decision - Unanimous,900,3,0,0,56,52,99,101,80,60,128,109,11,0,18,0,0,1,0,0,573,8
"April 29, 2023",UFC Fight Night: Song vs. Simon,"Las Vegas, Nevada, USA",1,Marcos Rogerio de Lima,Waldo Cortes-Acosta,Decision - Unanimous,900,3,0,0,59,82,76,150,76,88,95,156,3,0,7,1,0,0,0,0,301,34
"April 29, 2023",UFC Fight Night: Song vs. Simon,"Las Vegas, Nevada, USA",0,Julian Erosa,Fernando Padilla,KO/TKO,101,3,0,1,15,20,24,29,15,20,24,29,0,0,1,0,0,0,0,0,0,2
"April 29, 2023",UFC Fight Night: Song vs. Simon,"Las Vegas, Nevada, USA",0,Josh Quinlan,Trey Waters,Decision - Unanimous,900,3,0,0,50,104,128,203,50,106,128,205,1,1,8,2,0,0,0,0,54,27
"April 29, 2023",UFC Fight Night: Song vs. Simon,"Las Vegas, Nevada, USA",0,Stephanie Egger,Irina Alekseeva,Submission,131,3,0,0,9,18,24,44,9,18,24,44,0,0,0,1,0,1,0,0,0,0
"April 29, 2023",UFC Fight Night: Song vs. Simon,"Las Vegas, Nevada, USA",1,Caio Borralho,Michal Oleksiejczuk,Submission,469,3,0,0,34,30,55,65,52,30,74,65,3,0,6,1,1,0,0,0,159,13
"April 29, 2023",UFC Fight Night: Song vs. Simon,"Las Vegas, Nevada, USA",1,Rodolfo Vieira,Cody Brundage,Submission,388,3,0,1,10,20,15,29,30,41,37,51,1,0,7,0,2,1,0,0,259,64
"May 06, 2023",UFC 288: Sterling vs. Cejudo,"Newark, New Jersey, USA",0,Marina Rodriguez,Virna Jandiroba,Decision - Unanimous,900,3,0,0,33,27,62,43,115,91,150,116,0,3,0,7,0,0,0,1,5,722
"April 29, 2023",UFC Fight Night: Song vs. Simon,"Las Vegas, Nevada, USA",1,Song Yadong,Ricky Simon,KO/TKO,1270,5,2,0,105,60,228,139,110,64,234,144,0,2,0,9,0,0,0,0,27,51
"May 06, 2023",UFC 288: Sterling vs. Cejudo,"Newark, New Jersey, USA",1,Kennedy Nzechukwu,Devin Clark,Submission,448,3,0,0,62,36,81,58,79,61,98,90,0,1,1,4,1,0,0,0,222,64
"May 06, 2023",UFC 288: Sterling vs. Cejudo,"Newark, New Jersey, USA",0,Drew Dober,Matt Frevola,KO/TKO,248,3,0,1,20,35,59,75,20,39,59,79,0,0,0,1,0,0,0,0,0,8
"May 06, 2023",UFC 288: Sterling vs. Cejudo,"Newark, New Jersey, USA",0,Phil Hawes,Ikram Aliskerov,KO/TKO,130,3,0,1,17,20,28,33,17,20,28,33,0,0,0,0,0,0,0,0,0,0
"May 06, 2023",UFC 288: Sterling vs. Cejudo,"Newark, New Jersey, USA",1,Khaos Williams,Rolando Bedoya,Decision - Split,900,3,0,0,130,149,283,209,131,150,284,210,0,0,0,2,0,0,0,0,73,7
"May 06, 2023",UFC 288: Sterling vs. Cejudo,"Newark, New Jersey, USA",0,Braxton Smith,Parker Porter,KO/TKO,130,3,0,0,14,25,29,37,14,37,29,62,0,0,1,1,0,0,0,0,0,27
"May 06, 2023",UFC 288: Sterling vs. Cejudo,"Newark, New Jersey, USA",0,Kron Gracie,Charles Jourdain,Decision - Unanimous,900,3,0,0,32,80,57,168,171,175,216,266,0,0,0,0,0,0,0,0,43,408
"May 06, 2023",UFC 288: Sterling vs. Cejudo,"Newark, New Jersey, USA",1,Movsar Evloev,Diego Lopes,Decision - Unanimous,900,3,0,0,88,37,129,69,183,48,228,82,4,0,7,0,0,4,0,1,510,41
"May 06, 2023",UFC 288: Sterling vs. Cejudo,"Newark, New Jersey, USA",1,Belal Muhammad,Gilbert Burns,Decision - Unanimous,1500,5,0,0,132,81,283,147,132,81,283,147,0,0,0,4,0,0,0,0,0,0
"March 18, 2023",UFC 286: Edwards vs. Usman 3,"London, England, United Kingdom",1,Jake Hadley,Malcolm Gordon,KO/TKO,61,3,1,0,10,3,21,15,13,3,24,15,0,0,0,0,0,0,0,0,4,0
"May 06, 2023",UFC 288: Sterling vs. Cejudo,"Newark, New Jersey, USA",0,Jessica Andrade,Yan Xiaonan,KO/TKO,140,3,0,1,12,26,32,36,12,26,32,36,0,0,0,0,0,0,0,0,0,2
"May 06, 2023",UFC 288: Sterling vs. Cejudo,"Newark, New Jersey, USA",1,Aljamain Sterling,Henry Cejudo,Decision - Split,1500,5,0,0,135,99,210,174,186,143,261,219,4,3,15,8,0,0,0,0,240,306
"March 18, 2023",UFC 286: Edwards vs. Usman 3,"London, England, United Kingdom",1,Christian Leroy Duncan,Dusko Todorovic,KO/TKO,112,3,0,0,9,4,14,6,14,6,19,8,0,0,0,0,0,0,0,0,38,0
"March 18, 2023",UFC 286: Edwards vs. Usman 3,"London, England, United Kingdom",1,Joanne Wood,Luana Carolina,Decision - Split,900,3,0,0,131,100,228,199,177,123,278,222,2,0,4,0,0,0,0,0,110,42
"March 18, 2023",UFC 286: Edwards vs. Usman 3,"London, England, United Kingdom",1,Marvin Vettori,Roman Dolidze,Decision - Unanimous,900,3,0,0,106,71,218,192,106,71,218,192,0,0,0,1,0,0,0,0,0,14
"March 18, 2023",UFC 286: Edwards vs. Usman 3,"London, England, United Kingdom",1,Muhammad Mokaev,Jafel Filho,Submission,872,3,0,0,16,9,30,37,79,54,104,87,4,0,8,0,2,2,0,1,495,50
"March 18, 2023",UFC 286: Edwards vs. Usman 3,"London, England, United Kingdom",0,Sam Patterson,Yanal Ashmouz,KO/TKO,75,3,0,0,2,15,7,20,2,15,7,20,0,1,0,1,0,0,0,0,0,7
"March 18, 2023",UFC 286: Edwards vs. Usman 3,"London, England, United Kingdom",1,Lerone Murphy,Gabriel Santos,Decision - Split,900,3,0,0,93,69,161,122,115,87,183,141,1,5,2,11,0,0,0,0,138,240
"March 18, 2023",UFC 286: Edwards vs. Usman 3,"London, England, United Kingdom",1,Chris Duncan,Omar Morales,Decision - Split,900,3,0,0,53,47,83,80,62,53,92,86,5,0,14,0,0,0,0,1,391,2
"March 18, 2023",UFC 286: Edwards vs. Usman 3,"London, England, United Kingdom",1,Gunnar Nelson,Bryan Barberena,Submission,291,3,0,0,10,7,11,12,20,18,21,23,1,0,2,0,1,0,0,0,193,0
"March 18, 2023",UFC 286: Edwards vs. Usman 3,"London, England, United Kingdom",1,Jennifer Maia,Casey O'Neill,Decision - Unanimous,900,3,0,0,145,137,349,264,151,137,355,264,0,0,4,1,0,0,0,0,83,0
"March 18, 2023",UFC 286: Edwards vs. Usman 3,"London, England, United Kingdom",1,Justin Gaethje,Rafael Fiziev,Decision - Majority,900,3,0,0,103,97,171,169,106,97,174,169,1,0,3,0,0,0,0,0,5,0
"April 22, 2023",UFC Fight Night: Pavlovich vs. Blaydes,"Las Vegas, Nevada, USA",1,Brady Hiestand,Batgerel Danaa,KO/TKO,861,3,0,1,45,41,81,134,96,92,143,200,3,1,7,1,0,0,0,1,249,60
"March 18, 2023",UFC 286: Edwards vs. Usman 3,"London, England, United Kingdom",1,Leon Edwards,Kamaru Usman,Decision - Majority,1500,5,0,0,120,87,161,205,123,113,164,232,0,4,1,15,0,0,0,0,0,303
"March 18, 2023",UFC 286: Edwards vs. Usman 3,"London, England, United Kingdom",1,Jack Shore,Makwan Amirkhani,Submission,567,3,0,0,28,10,46,24,45,14,64,28,1,1,1,3,1,0,0,0,135,211
"April 22, 2023",UFC Fight Night: Pavlovich vs. Blaydes,"Las Vegas, Nevada, USA",0,Francis Marshall,William Gomis,Decision - Split,900,3,0,0,15,27,132,79,35,30,165,84,2,0,5,0,2,0,0,0,260,17
"April 22, 2023",UFC Fight Night: Pavlovich vs. Blaydes,"Las Vegas, Nevada, USA",0,Karol Rosa,Norma Dumont,Decision - Unanimous,900,3,1,0,33,35,68,87,144,63,194,129,0,1,2,1,0,0,0,0,193,294
"April 22, 2023",UFC Fight Night: Pavlovich vs. Blaydes,"Las Vegas, Nevada, USA",1,Mohammed Usman,Junior Tafa,Decision - Unanimous,900,3,0,0,7,22,29,61,79,37,133,78,2,0,12,0,0,0,0,0,723,0
"April 22, 2023",UFC Fight Night: Pavlovich vs. Blaydes,"Las Vegas, Nevada, USA",0,Ricky Glenn,Christos Giagos,KO/TKO,95,3,0,1,2,9,11,16,2,9,11,16,0,0,0,0,0,0,0,0,0,0
"April 22, 2023",UFC Fight Night: Pavlovich vs. Blaydes,"Las Vegas, Nevada, USA",0,Bobby Green,Jared Gordon,Could Not Continue,275,3,0,0,23,17,69,53,23,17,69,53,0,0,1,1,0,0,0,0,1,0
"April 22, 2023",UFC Fight Night: Pavlovich vs. Blaydes,"Las Vegas, Nevada, USA",0,Rani Yahya,Montel Jackson,KO/TKO,222,3,0,1,7,9,21,21,7,10,22,23,0,0,3,0,0,0,0,0,8,77
"April 22, 2023",UFC Fight Night: Pavlovich vs. Blaydes,"Las Vegas, Nevada, USA",1,Iasmin Lucindo,Brogan Walker,Decision - Unanimous,900,3,0,0,53,29,118,145,57,31,123,149,4,0,5,0,0,0,0,0,46,64
"March 25, 2023",UFC Fight Night: Vera vs. Sandhagen,"San Antonio, Texas, USA",0,Andrea Lee,Maycee Barber,Decision - Split,900,3,0,0,39,48,103,127,57,66,125,158,5,2,5,2,0,0,0,1,320,45
"April 22, 2023",UFC Fight Night: Pavlovich vs. Blaydes,"Las Vegas, Nevada, USA",1,Jeremiah Wells,Matthew Semelsberger,Decision - Split,900,3,0,2,36,20,76,37,86,39,158,59,6,0,10,1,0,0,0,0,672,89
"April 22, 2023",UFC Fight Night: Pavlovich vs. Blaydes,"Las Vegas, Nevada, USA",1,Sergei Pavlovich,Curtis Blaydes,KO/TKO,188,5,1,0,36,14,85,56,36,14,85,56,0,0,0,1,0,0,0,0,0,0
"March 25, 2023",UFC Fight Night: Vera vs. Sandhagen,"San Antonio, Texas, USA",1,Nate Landwehr,Austin Lingo,Submission,551,3,0,0,64,48,153,146,68,50,160,148,1,0,2,0,1,0,0,0,24,0
"March 25, 2023",UFC Fight Night: Vera vs. Sandhagen,"San Antonio, Texas, USA",1,Daniel Pineda,Tucker Lutz,Submission,470,3,1,0,24,28,45,78,41,33,66,84,1,0,2,4,2,0,0,0,140,87
"April 22, 2023",UFC Fight Night: Pavlovich vs. Blaydes,"Las Vegas, Nevada, USA",0,Brad Tavares,Bruno Silva,KO/TKO,215,3,0,1,15,23,64,51,15,24,65,52,0,0,0,0,0,0,0,0,0,2
"March 25, 2023",UFC Fight Night: Vera vs. Sandhagen,"San Antonio, Texas, USA",0,Chidi Njokuani,Albert Duraev,Decision - Split,900,3,0,0,40,45,99,123,44,68,104,159,0,2,0,3,0,0,0,0,0,242
"March 25, 2023",UFC Fight Night: Vera vs. Sandhagen,"San Antonio, Texas, USA",1,Holly Holm,Yana Santos,Decision - Unanimous,900,3,0,0,32,21,63,46,105,120,163,185,4,0,6,0,0,0,0,0,589,79
"April 08, 2023",UFC 287: Pereira vs. Adesanya 2,"Miami, Florida, USA",0,Jaqueline Amorim,Sam Hughes,Decision - Unanimous,900,3,0,0,12,46,52,104,52,107,109,176,2,1,10,1,3,0,0,1,222,422
"April 08, 2023",UFC 287: Pereira vs. Adesanya 2,"Miami, Florida, USA",1,Ignacio Bahamondes,Trey Ogden,Decision - Unanimous,900,3,0,0,99,42,200,109,99,42,200,109,0,0,0,1,0,0,0,0,0,0
"April 08, 2023",UFC 287: Pereira vs. Adesanya 2,"Miami, Florida, USA",0,Shayilan Nuerdanbieke,Steve Garcia,KO/TKO,336,3,1,1,18,17,35,40,31,50,63,77,1,0,2,0,0,0,0,0,214,15
